person_id,Sex,past_login_total,past_1_month_login,past_1_week_login,sub_size,email_type,phone_rat,apple_rat,login
1015,male,1.0,0.0,0.0,0.0,naver,0.0,1.0,0
1940,female,2.0,0.0,0.0,0.0,other,1.0,1.0,0
1356,male,1.0,0.0,0.0,0.0,other,1.0,0.0,0
1535,male,2.0,0.0,0.0,0.0,other,0.0,1.0,0
216,female,,,,0.0,naver,0.0,0.0,0
821,female,4.0,0.0,0.0,0.0,naver,0.0,0.0,0
543,male,,,,0.0,naver,0.0625,0.0,0
791,female,48.0,0.0,0.0,28.0,gmail,0.0,0.8541666666666666,0
1721,male,2.0,0.0,0.0,0.0,nate,0.0,0.0,0
1461,female,5.0,0.0,0.0,0.0,naver,0.0,0.8,0
1658,male,2.0,0.0,0.0,0.0,gmail,1.0,0.0,0
234,female,2.0,1.0,0.0,0.0,naver,0.0,0.0,0
783,male,1.0,0.0,0.0,0.0,gmail,0.0,0.0,0
1155,male,,,,0.0,naver,0.0,0.0,0
1643,male,14.0,0.0,0.0,0.0,gmail,0.07142857142857142,0.0,1
1853,male,1.0,0.0,0.0,0.0,gmail,0.0,1.0,0
2153,female,1.0,0.0,0.0,0.0,gmail,0.0,0.0,0
1438,female,2.0,0.0,0.0,0.0,gmail,0.5,0.5,1
1528,female,2.0,0.0,0.0,0.0,gmail,0.0,1.0,0
847,male,3.0,0.0,0.0,0.0,naver,0.0,0.0,0
1697,male,8.0,0.0,0.0,0.0,naver,0.25,0.25,0
1059,male,9.0,0.0,0.0,0.0,other,0.7777777777777778,0.0,0
688,female,234.0,0.0,0.0,139.0,nate,0.06837606837606837,0.0,0
1192,female,9.0,0.0,0.0,0.0,gmail,0.0,0.0,0
1203,male,12.0,0.0,0.0,0.0,gmail,0.08333333333333333,0.08333333333333333,1
1784,female,4.0,0.0,0.0,0.0,naver,0.25,0.25,0
919,female,58.0,0.0,0.0,3.0,gmail,0.0,1.0,0
1848,male,2.0,0.0,0.0,0.0,gmail,0.0,0.0,0
378,male,7.0,0.0,0.0,1.0,naver,0.0,0.0,0
907,female,1.0,0.0,0.0,0.0,gmail,0.0,1.0,0
1041,male,1.0,0.0,0.0,0.0,gmail,0.0,0.0,0
485,male,1.0,0.0,0.0,1.0,other,0.0,0.0,0
1289,female,,,,0.0,other,0.0,0.0,0
2052,female,1.0,0.0,0.0,0.0,naver,0.0,0.0,0
304,female,240.0,2.0,0.0,114.0,naver,0.016666666666666666,0.016666666666666666,1
472,female,,,,1.0,other,0.0,0.0,0
914,female,1.0,0.0,0.0,0.0,gmail,0.0,0.0,0
1503,male,3.0,0.0,0.0,0.0,gmail,0.0,0.0,0
692,female,1.0,0.0,0.0,0.0,hanmail,0.0,0.0,1
2008,male,1.0,0.0,0.0,0.0,nate,0.0,0.0,0
25,female,10.0,5.0,5.0,9.0,naver,0.0,0.5,1
1952,female,1.0,0.0,0.0,0.0,naver,0.0,0.0,0
2172,male,1.0,0.0,0.0,0.0,other,0.0,0.0,0
1956,male,1.0,0.0,0.0,0.0,naver,0.0,1.0,0
63,female,10.0,2.0,2.0,0.0,other,0.0,0.0,1
855,male,1.0,0.0,0.0,0.0,gmail,1.0,0.0,0
374,male,24.0,0.0,0.0,6.0,naver,0.0,1.0,1
392,female,10.0,0.0,0.0,3.0,gmail,1.0,0.0,0
331,female,5.0,3.0,0.0,0.0,gmail,0.0,0.0,0
1881,female,2.0,0.0,0.0,0.0,other,0.5,0.5,0
1765,male,1.0,0.0,0.0,0.0,gmail,0.0,1.0,0
2083,female,3.0,0.0,0.0,0.0,gmail,0.0,0.0,0
1573,female,65.0,0.0,0.0,95.0,naver,0.015384615384615384,0.0,0
910,male,1.0,0.0,0.0,0.0,hanmail,0.0,0.0,0
1470,female,1.0,0.0,0.0,0.0,gmail,0.0,0.0,0
1337,male,1.0,0.0,0.0,0.0,other,0.0,0.0,0
2030,female,3.0,0.0,0.0,56.0,hanmail,0.0,0.0,0
841,male,14.0,0.0,0.0,5.0,naver,0.0,0.0,0
41,female,,,,163.0,gmail,0.0,0.0,1
276,female,1.0,1.0,0.0,0.0,gmail,0.0,0.0,0
27,male,10.0,4.0,4.0,3.0,naver,0.1,0.4,0
670,female,2.0,0.0,0.0,0.0,gmail,0.0,0.0,0
1021,female,1.0,0.0,0.0,0.0,other,0.0,0.0,0
788,female,8.0,0.0,0.0,0.0,naver,0.25,0.25,0
1995,female,1.0,0.0,0.0,0.0,gmail,0.0,0.0,0
1845,male,1.0,0.0,0.0,0.0,naver,0.0,0.0,0
1185,female,1.0,0.0,0.0,0.0,gmail,0.0,1.0,1
1033,female,1.0,0.0,0.0,0.0,gmail,0.0,1.0,0
311,female,,,,0.0,naver,0.0,0.0,1
1062,female,1.0,0.0,0.0,0.0,gmail,0.0,0.0,0
165,male,26.0,12.0,1.0,0.0,gmail,0.0,0.0,1
993,female,1.0,0.0,0.0,0.0,gmail,0.0,1.0,0
467,male,1.0,0.0,0.0,1.0,other,0.0,0.0,0
1844,female,2.0,0.0,0.0,0.0,naver,0.0,0.0,0
967,female,1.0,0.0,0.0,0.0,hanmail,0.0,1.0,0
1809,male,1.0,0.0,0.0,0.0,naver,0.0,0.0,0
275,male,1.0,1.0,0.0,0.0,gmail,0.0,0.0,0
614,female,3.0,0.0,0.0,0.0,gmail,0.0,0.0,0
1063,female,61.0,0.0,0.0,25.0,naver,0.0,0.0,0
1212,female,2.0,0.0,0.0,0.0,naver,0.0,1.0,0
2094,male,3.0,0.0,0.0,3.0,naver,0.0,0.0,0
449,male,4.0,0.0,0.0,0.0,naver,0.0,0.0,0
68,female,5.0,5.0,3.0,0.0,gmail,0.4,0.0,1
98,female,4.0,4.0,3.0,0.0,gmail,0.0,1.0,1
148,female,1.0,1.0,1.0,0.0,gmail,0.0,1.0,0
75,male,139.0,5.0,5.0,17.0,gmail,0.07913669064748201,0.0,1
7,male,2.0,2.0,1.0,0.0,gmail,0.0,1.0,1
1682,male,7.0,0.0,0.0,0.0,gmail,0.0,0.0,0
1001,female,6.0,0.0,0.0,0.0,gmail,0.0,0.0,0
726,male,,,,0.0,naver,0.0,1.0,0
2162,female,2.0,0.0,0.0,5.0,naver,0.0,1.0,0
2078,female,,,,1.0,gmail,1.0,0.0,0
1714,female,2.0,0.0,0.0,0.0,gmail,0.0,0.0,0
1581,female,,,,0.0,gmail,0.0,0.5,0
1797,female,1.0,0.0,0.0,0.0,gmail,0.0,0.0,0
308,female,1.0,1.0,0.0,0.0,gmail,0.0,0.0,0
958,male,6.0,0.0,0.0,0.0,gmail,0.5,0.0,0
519,female,5.0,0.0,0.0,0.0,gmail,0.0,0.0,0
2057,female,13.0,0.0,0.0,10.0,gmail,0.15384615384615385,0.7692307692307693,0
1308,male,1.0,0.0,0.0,0.0,naver,1.0,0.0,0
1156,male,23.0,0.0,0.0,8.0,gmail,0.0,0.0,0
542,male,2.0,0.0,0.0,0.0,gmail,0.0,0.0,0
1497,female,20.0,0.0,0.0,0.0,gmail,0.15,0.0,0
439,male,10.0,0.0,0.0,7.0,gmail,0.0,0.0,0
909,male,,,,0.0,other,0.0,0.0,0
1238,male,,,,0.0,nate,0.0,1.0,0
429,female,1.0,0.0,0.0,0.0,naver,0.0,0.0,0
2060,female,4.0,0.0,0.0,0.0,gmail,0.0,0.0,0
2066,male,3.0,0.0,0.0,0.0,gmail,0.0,0.0,0
1689,female,5.0,0.0,0.0,0.0,gmail,0.0,0.0,1
1600,female,8.0,0.0,0.0,2.0,other,0.0,0.875,0
861,female,1.0,0.0,0.0,0.0,gmail,0.0,0.0,0
21,male,11.0,2.0,1.0,0.0,gmail,0.0,0.0,1
1138,female,1.0,0.0,0.0,0.0,gmail,0.0,1.0,0
1482,female,1.0,0.0,0.0,0.0,gmail,0.0,1.0,0
1960,male,1.0,0.0,0.0,0.0,gmail,1.0,1.0,0
1050,male,1.0,0.0,0.0,0.0,gmail,0.0,1.0,0
2166,male,4.0,0.0,0.0,0.0,naver,0.0,0.0,0
509,male,7.0,0.0,0.0,0.0,gmail,0.42857142857142855,0.0,0
1243,female,1.0,0.0,0.0,0.0,other,1.0,0.0,0
415,female,1.0,0.0,0.0,0.0,gmail,0.0,0.0,0
290,male,1.0,1.0,0.0,0.0,hanmail,0.0,0.0,0
1504,female,2.0,0.0,0.0,0.0,gmail,0.0,0.0,0
1180,male,2.0,0.0,0.0,0.0,gmail,0.0,1.0,0
731,male,6.0,0.0,0.0,0.0,naver,0.0,0.0,1
1363,male,1.0,0.0,0.0,0.0,gmail,0.0,0.0,0
1403,female,7.0,0.0,0.0,0.0,gmail,0.0,0.0,0
1412,male,18.0,0.0,0.0,0.0,gmail,0.05555555555555555,0.0,0
1387,male,2.0,0.0,0.0,2.0,naver,0.0,0.0,0
563,female,1.0,0.0,0.0,0.0,gmail,0.0,0.0,0
1707,female,,,,0.0,gmail,0.2,0.2,0
1763,female,4.0,0.0,0.0,0.0,naver,0.25,0.0,0
546,female,4.0,0.0,0.0,0.0,gmail,0.0,0.0,0
514,male,1.0,0.0,0.0,0.0,other,0.0,0.0,0
1035,female,2.0,0.0,0.0,0.0,nate,0.0,1.0,0
1679,female,1.0,0.0,0.0,0.0,gmail,1.0,0.0,0
123,female,2.0,2.0,1.0,0.0,gmail,0.0,0.0,0
1353,female,1.0,0.0,0.0,0.0,gmail,0.0,0.0,0
619,male,1.0,0.0,0.0,0.0,gmail,0.0,0.0,0
2029,female,3.0,0.0,0.0,0.0,hanmail,0.3333333333333333,0.0,0
436,male,3.0,0.0,0.0,3.0,gmail,0.0,0.0,0
1466,female,,,,8.0,gmail,0.0,0.6666666666666666,0
1388,male,1.0,0.0,0.0,2.0,gmail,0.0,0.0,0
1565,male,1.0,0.0,0.0,0.0,gmail,0.0,0.0,0
55,female,1.0,1.0,1.0,0.0,gmail,0.0,0.0,0
2039,male,1.0,0.0,0.0,0.0,gmail,0.0,1.0,0
1566,female,3.0,0.0,0.0,0.0,naver,0.0,0.0,0
734,male,6.0,0.0,0.0,0.0,gmail,0.0,1.0,0
582,male,1.0,0.0,0.0,0.0,gmail,0.0,0.0,0
318,female,25.0,4.0,0.0,6.0,gmail,0.0,0.0,0
762,female,12.0,0.0,0.0,0.0,gmail,0.0,0.0,0
820,female,7.0,0.0,0.0,0.0,gmail,0.14285714285714285,0.5714285714285714,0
1593,male,1.0,0.0,0.0,0.0,other,0.0,0.0,0
673,female,1.0,0.0,0.0,0.0,naver,0.0,0.0,0
1840,female,1.0,0.0,0.0,0.0,naver,0.0,0.0,0
457,male,1.0,0.0,0.0,0.0,gmail,0.0,0.0,0
459,male,3.0,0.0,0.0,0.0,gmail,0.0,0.0,0
360,female,16.0,0.0,0.0,1.0,gmail,0.0,0.0,0
584,female,1.0,0.0,0.0,0.0,naver,0.0,1.0,0
607,female,38.0,0.0,0.0,0.0,hanmail,0.13157894736842105,0.13157894736842105,1
2105,female,4.0,0.0,0.0,0.0,gmail,0.0,0.0,0
24,male,3.0,3.0,2.0,0.0,gmail,0.0,1.0,1
54,male,4.0,4.0,4.0,0.0,naver,0.0,0.0,0
916,male,6.0,0.0,0.0,0.0,naver,0.0,0.0,0
755,female,2.0,0.0,0.0,0.0,nate,0.0,0.0,0
517,female,8.0,0.0,0.0,0.0,gmail,0.0,0.125,0
1086,male,7.0,0.0,0.0,0.0,gmail,0.0,0.0,0
1359,male,1.0,0.0,0.0,0.0,gmail,1.0,0.0,0
648,female,2.0,0.0,0.0,0.0,gmail,0.0,1.0,0
710,female,4.0,0.0,0.0,0.0,gmail,0.0,0.0,0
